name,price,description,imageUrl,category
Cải bẹ xanh,18000,Cải bẹ xanh tươi mướt,https://example.com/images/cai-be-xanh.jpg,Rau lá
Quýt ngọt,28000,Quýt ngọt Hòa Bình,https://example.com/images/quyt-ngot.jpg,Trái cây
Mướp khía,20000,Mướp khía tươi xanh,https://example.com/images/muop-khia.jpg,Rau củ
Sapoche,40000,Sapoche ngọt bùi,https://example.com/images/sapoche.jpg,Trái cây
Rau thơm,15000,Rau thơm tổng hợp,https://example.com/images/rau-thom.jpg,Rau lá
Na dai,45000,Na dai Ninh Thuận ngọt,https://example.com/images/na-dai.jpg,Trái cây
Cà rốt,16000,Cà rốt Đà Lạt giòn ngọt,https://example.com/images/ca-rot.jpg,Rau củ
Cam Úc,75000,Cam Úc nhập khẩu tươi,https://example.com/images/cam-uc.jpg,Trái cây
Rau xà lách,22000,Rau xà lách xoăn Đà Lạt,https://example.com/images/rau-xa-lach.jpg,Rau lá
Ổi ta,18000,Ổi ta xanh giòn ngọt,https://example.com/images/oi-ta.jpg,Trái cây
Ngô ngọt,25000,Ngô ngọt Đà Lạt tươi,https://example.com/images/ngo-ngot.jpg,Rau củ
Dâu tây,120000,Dâu tây Đà Lạt đỏ chín,https://example.com/images/dau-tay.jpg,Trái cây
Hẹ lá,12000,Hẹ lá thơm xanh,https://example.com/images/he-la.jpg,Rau lá
Dừa xiêm,15000,Dừa xiêm xanh ngọt mát,https://example.com/images/dua-xiem.jpg,Trái cây
Giá đỗ,8000,Giá đỗ xanh tươi giòn,https://example.com/images/gia-do.jpg,Rau lá
Chôm chôm pink,35000,Chôm chôm pink ngọt thơm,https://example.com/images/chom-chom-pink.jpg,Trái cây
Củ cải trắng,12000,Củ cải trắng Đà Lạt,https://example.com/images/cu-cai-trang.jpg,Rau củ
Kiwi xanh,85000,Kiwi xanh New Zealand,https://example.com/images/kiwi-xanh.jpg,Trái cây
Bầu dài,18000,Bầu dài xanh non,https://example.com/images/bau-dai.jpg,Rau củ
Mãng cầu,50000,Mãng cầu na ngọt bùi,https://example.com/images/mang-cau.jpg,Trái cây
Cải ngọt,16000,Cải ngọt Đà Lạt tươi,https://example.com/images/cai-ngot.jpg,Rau lá
Táo ta,35000,Táo ta Sapa chua ngọt,https://example.com/images/tao-ta.jpg,Trái cây
Khổ qua,22000,Khổ qua xanh đắng mát,https://example.com/images/kho-qua.jpg,Rau củ
Dưa lưới,45000,Dưa lưới Nhật ngọt thơm,https://example.com/images/dua-luoi.jpg,Trái cây
Tía tô,15000,Tía tô thơm tím,https://example.com/images/tia-to.jpg,Rau lá
Chùm ruột,30000,Chùm ruột chua ngọt,https://example.com/images/chum-ruot.jpg,Trái cây
Gạo tám xoan,28000,Gạo tám xoan An Giang thơm dẻo,https://example.com/images/gao-tam-xoan.jpg,Lúa gạo
Cà chua cherry,20000,Cà chua cherry đỏ tươi Đà Lạt,https://example.com/images/ca-chua-cherry.jpg,Rau củ
Lựu đỏ,65000,Lựu đỏ hạt ngọt Iran,https://example.com/images/luu-do.jpg,Trái cây
Đậu phộng,35000,Đậu phộng rang muối,https://example.com/images/dau-phong.jpg,Đậu hạt
Húng quế,18000,Húng quế thơm tươi,https://example.com/images/hung-que.jpg,Rau lá
Bưởi năm roi,40000,Bưởi năm roi Vĩnh Long ngọt,https://example.com/images/buoi-nam-roi.jpg,Trái cây
Cà pháo,25000,Cà pháo tím Đà Lạt,https://example.com/images/ca-phao.jpg,Rau củ
Chanh tươi,15000,Chanh tươi không hạt,https://example.com/images/chanh-tuoi.jpg,Trái cây
Đỗ xanh,30000,Đỗ xanh hạt tươi,https://example.com/images/do-xanh.jpg,Đậu hạt
Măng tây,45000,Măng tây xanh Đà Lạt,https://example.com/images/mang-tay.jpg,Rau lá
Dâu đen,150000,Dâu đen tươi organic,https://example.com/images/dau-den.jpg,Trái cây
Gạo lứt đỏ,35000,Gạo lứt đỏ bổ dưỡng,https://example.com/images/gao-lut-do.jpg,Lúa gạo
Cải bó xôi,14000,Cải bó xôi baby tươi,https://example.com/images/cai-bo-xoi.jpg,Rau lá
Đu đủ chín,22000,Đu đủ chín vàng ngọt,https://example.com/images/du-du-chin.jpg,Trái cây
Đậu đen,32000,Đậu đen hạt khô,https://example.com/images/dau-den.jpg,Đậu hạt
Kinh giới,20000,Kinh giới thơm mát,https://example.com/images/kinh-gioi.jpg,Rau lá
Chôm chôm đỏ,32000,Chôm chôm đỏ ngọt thơm,https://example.com/images/chom-chom-do.jpg,Trái cây
Cải cúc,16000,Cải cúc Nhật tươi mát,https://example.com/images/cai-cuc.jpg,Rau lá
Bơ booth,85000,Bơ booth Đắk Lắk béo ngậy,https://example.com/images/bo-booth.jpg,Trái cây
Lúa mì,25000,Lúa mì hạt nguyên chất,https://example.com/images/lua-mi.jpg,Lúa gạo
Ngò gai,12000,Ngò gai thơm đặc biệt,https://example.com/images/ngo-gai.jpg,Rau lá
Cam canh,35000,Cam canh Hà Giang chua ngọt,https://example.com/images/cam-canh.jpg,Trái cây
Yến mạch,40000,Yến mạch hạt nguyên chất,https://example.com/images/yen-mach.jpg,Ngũ cốc
Rau ram,14000,Rau ram thơm cay,https://example.com/images/rau-ram.jpg,Rau lá
Khoai môn,20000,Khoai môn Bến Tre bùi thơm,https://example.com/images/khoai-mon.jpg,Rau củ
Mít Thái siêu ngọt,38000,Mít Thái siêu ngọt không hạt,https://example.com/images/mit-thai-sieu-ngot.jpg,Trái cây
Đậu tương,28000,Đậu tương vàng hạt khô,https://example.com/images/dau-tuong.jpg,Đậu hạt
Lá lốt,25000,Lá lốt tươi thơm,https://example.com/images/la-lot.jpg,Rau lá
Nho tím,90000,Nho tím Phan Rang ngọt đậm,https://example.com/images/nho-tim.jpg,Trái cây
Cà chua beef,30000,Cà chua beef to đỏ Đà Lạt,https://example.com/images/ca-chua-beef.jpg,Rau củ
